Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1375049;Block;0,2;-49,88401;0;-40;0;80;False
0,1375049;Block;0,2;-49,88401;0;-40;0;80;False
0,853832;Racket;32,56499;-109,6;-2,305;-107,3319;1;80;False
0,8872013;Racket;29,37161;-109,6;-5,498382;-105,0419;1;80;False
0,9205926;Racket;26,17823;-109,6;-8,691764;-102,7519;1;80;False
1,737036;Block;-42,42245;-48,93679;-40;-40;1;80;False
2,537267;Racket;-101,5767;-109,6;-75,46481;-101,6069;2;80;False
3,28712;Block;-51,88128;-49,22294;-60;-40;2;80;False
3,28712;Block;-51,88128;-49,22294;-40;-40;3;80;False
4,037221;Racket;-64,00177;-109,6;-76,56172;-101,6069;4;80;False
4,736929;Block;-88,43767;-49,37758;-80;-40;4;80;False
5,43685;Racket;-94,06174;-109,6;-100,3136;-101,6069;5;80;False
