Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1278853;Block;0,2;-49,88401;0;-40;0;80;False
0,1278853;Block;0,2;-49,88401;0;-40;0;80;False
0,8112792;Racket;7,514999;-109,6;0,2;-101,988;1;80;False
1,513736;Block;-6,821262;-48,96793;0;-40;1;80;False
2,215025;Racket;-20,04;-109,6;-13,84254;-101,988;2;80;False
4,920055;Top;0,06;118,1;9,15289;110,5621;2;80;False
6,759369;Block;24,76704;-32,90919;20;-40;2;80;False
8,596059;Top;0,06;118,1;40,3813;110,5621;3;80;False
10,43054;Block;55,99566;-32,90919;60;-40;3;80;False
12,27047;Top;0,06;118,1;71,60981;110,5621;4;80;False
14,10559;Block;87,22375;-32,90919;80;-40;4;80;False
15,94347;Top;0,06;118,1;102,8377;110,5621;5;80;False
18,74729;Ground;0,15;-117,8;126,6844;-109,9586;5;80;False
21,55312;Top;0,06;118,1;150,5324;110,5621;5;80;False
24,26076;Racket;173,6771;-109,6;173,5287;-101,988;5;80;False
26,94796;Top;0,06;118,1;172,9784;110,4355;5;80;False
29,6375;Racket;148,627;-109,6;172,4281;-101,988;5;80;False
30,52115;RightBorder;209,4;1,33;198,2954;-36,48116;5;80;False
32,54427;Top;0,06;118,1;136,924;110,6002;5;80;False
34,51328;Block;77,0741;-32,77323;80;-40;5;80;False
36,48505;Top;0,06;118,1;17,22454;110,6002;6;80;False
38,45456;Block;-42,62505;-32,77323;-40;-40;6;80;False
40,42442;Top;0,06;118,1;-102,4747;110,6002;7;80;False
43,33062;Racket;-172,013;-109,6;-190,7279;-101,988;7;80;False
43,66503;LeftBorder;-209,1;-0,8;-198,1126;-76,55903;7;80;False
46,15434;Top;0,06;118,1;-136,9834;110,3439;7;80;False
48,05624;Block;-90,21346;-32,05832;-80;-40;7;80;False
49,96154;Top;0,06;118,1;-43,44366;110,3439;8;80;False
52,89899;Ground;0,15;-117,8;28,76218;-110,8881;8;80;False
