Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1845433;Block;0,2;-45,87601;0;-35;0;80;False
0,9183243;Racket;0;-109,6;0,2;-101,988;1;80;False
1,65274;Block;0,4027024;-45,87634;0;-35;1;80;False
2,488466;Ground;0,15;-117,8;0,6330452;-110,0039;2;80;False
5,276997;Top;0,06;118,1;1,402388;110,4347;2;80;False
7,967583;Racket;-2,505004;-109,6;2,144094;-101,988;2;80;False
10,67229;Top;0,06;118,1;19,43715;111,0885;2;80;False
12,4242;Block;30,64555;-26,07947;35;-35;2;80;False
14,17879;Top;0,06;118,1;41,85395;111,0885;3;80;False
16,06479;Block;53,70284;-39,39676;70;-35;3;80;False
16,98483;Ground;0,15;-117,8;47,83177;-109,9783;4;80;False
17,0009;Racket;80,05324;-109,6;45,32677;-108,6466;4;80;False
17,03543;Racket;76,86195;-109,6;42,13547;-106,3541;4;80;False
17,06944;Racket;73,67065;-109,6;38,94417;-104,0616;4;80;False
17,10008;Racket;70,47936;-109,6;35,75287;-101,7691;4;80;False
