Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1860302;Block;0,2;-45,87601;0;-35;0;80;False
0,9216207;Racket;26,50924;-109,6;0,2;-101,988;1;80;False
1,721137;Block;-26,29096;-46,02062;-35;-35;1;80;False
2,640162;Ground;0,15;-117,8;-56,64519;-110,5047;2;80;False
3,643139;Block;-88,65511;-37,50387;-105;-35;2;80;False
3,742013;Block;-86,44753;-30,2038;-70;-35;3;80;False
5,712431;Top;0,06;118,1;-151,5712;110,9311;4;80;False
7,150527;LeftBorder;-209,1;-0,8;-197,9303;6,296569;4;80;False
8,78736;Ground;0,15;-117,8;-143,8446;-110,5047;4;80;False
9,703629;Block;-113,4904;-46,02062;-105;-35;4;80;False
10,62359;Ground;0,15;-117,8;-83,13615;-110,5047;5;80;False
11,60835;Block;-51,67813;-38,72055;-35;-35;5;80;False
11,69092;Block;-53,33382;-32,63715;-70;-35;6;80;False
13,69536;Top;0,06;118,1;12,89359;110,9311;7;80;False
15,61493;Block;76,36153;-26,55376;70;-35;7;80;False
17,53772;Top;0,06;118,1;139,8295;110,9311;8;80;False
19,34159;RightBorder;209,4;1,33;198,3304;-20,47037;8;80;False
20,61071;Ground;0,15;-117,8;156,3863;-110,5047;8;80;False
21,52785;Block;126,0321;-46,02062;140;-35;8;80;False
22,44061;Ground;0,15;-117,8;95,67786;-110,5047;9;80;False
23,36644;Block;65,32362;-46,02062;70;-35;9;80;False
24,16756;Racket;54,5536;-109,6;38,83266;-101,988;10;80;False
24,91716;Block;23,10458;-46,5406;35;-35;10;80;False
25,67082;Racket;23,46981;-109,6;7,376532;-101,988;11;80;False
26,41972;Block;-8,697674;-46,63142;0;-35;11;80;False
27,17388;Racket;-26,50702;-109,6;-24,77187;-101,988;12;80;False
29,86011;Top;0,06;118,1;-18,33971;110,3412;12;80;False
