Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1785243;Block;0,2;-45,87601;0;-35;0;80;False
0,9136565;Racket;0;-109,6;0,2;-101,988;1;80;False
1,649516;Block;0,4027024;-45,87634;0;-35;1;80;False
2,384247;Racket;30,06;-109,6;0,6054041;-101,988;2;80;False
3,201934;Block;-29,0364;-46,0016;-35;-35;2;80;False
4,021576;Racket;-30,06;-109,6;-58,6782;-101,988;3;80;False
4,886724;Block;-88,23603;-39,68721;-105;-35;3;80;False
4,971043;Block;-86,46256;-33,69675;-70;-35;4;80;False
5,056026;Block;-88,23603;-27,70628;-105;-35;5;80;False
7,026884;Top;0,06;118,1;-18,47932;111,2724;6;80;False
8,978563;Block;50,68637;-26,50819;35;-35;6;80;False
10,93337;Top;0,06;118,1;119,8517;111,2724;7;80;False
13,17176;RightBorder;209,4;1,33;197,8843;-49,27197;7;80;False
14,05415;Ground;0,15;-117,8;166,553;-110,3746;7;80;False
14,97448;Block;134,0395;-46,87577;140;-35;7;80;False
15,8922;Ground;0,15;-117,8;101,5259;-110,3746;8;80;False
16,00991;Racket;67,635;-109,6;97,38779;-101,988;8;80;False
16,82828;Block;127,2673;-46,11808;140;-35;8;80;False
17,76464;Ground;0,15;-117,8;161,4154;-110,309;9;80;False
17,83124;Racket;132,1649;-109,6;164,4546;-105,5541;9;80;False
18,72922;RightBorder;209,4;1,33;198,2471;-41,32008;9;80;False
