Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,135071;Block;0,2;-49,88401;0;-40;0;80;False
0,135071;Block;0,2;-49,88401;0;-40;0;80;False
0,6711291;Racket;1,977659;-98;0,2;-89,96397;1;80;False
1,204974;Block;-1,109703;-49,90278;0;-40;1;80;False
1,990554;Ground;0,15;-117,8;-3,033328;-109,9946;2;80;False
4,777359;Top;0,06;118,1;-9,868338;110,342;2;80;False
6,598886;Block;-14,32948;-32,54293;-20;-40;2;80;False
8,419365;Top;0,06;118,1;-18,79062;110,342;3;80;False
10,24036;Block;-23,25176;-32,54293;-20;-40;3;80;False
12,05746;Top;0,06;118,1;-27,7129;110,342;4;80;False
13,87971;Block;-32,17404;-32,54293;-40;-40;4;80;False
15,69959;Top;0,06;118,1;-36,63518;110,342;5;80;False
17,51954;Block;-41,09632;-32,54293;-40;-40;5;80;False
19,34065;Top;0,06;118,1;-45,55746;110,342;6;80;False
21,16151;Block;-50,0186;-32,54293;-60;-40;6;80;False
22,98141;Top;0,06;118,1;-54,47974;110,342;7;80;False
24,80033;Block;-58,94088;-32,54293;-60;-40;7;80;False
26,62186;Top;0,06;118,1;-63,40202;110,342;8;80;False
