Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,128584;Block;0,2;-49,88401;0;-40;0;80;False
0,128584;Block;0,2;-49,88401;0;-40;0;80;False
0,6639256;Racket;-9,42;-98;0,2;-89,96397;1;80;False
1,214132;Block;7,41397;-49,10618;0;-40;1;80;False
1,766314;Racket;38,175;-98;14,62794;-89,96397;2;80;False
4,502675;Top;0,06;118,1;-67,79128;110,5718;2;80;False
7,241999;Racket;-173,476;-98;-150,2108;-89,96397;2;80;False
9,98022;Top;0,06;118,1;-68,6412;110,9099;2;80;False
11,95307;Block;-9,950481;-32,92572;-20;-40;2;80;False
13,92347;Top;0,06;118,1;48,74027;110,9099;3;80;False
16,77844;Racket;166,6595;-98;130,7892;-101,1236;3;80;False
16,82919;Racket;160,9467;-98;126,8788;-97,71484;3;80;False
16,8626;Racket;157,7651;-98;123,6971;-95,41088;3;80;False
16,89474;Racket;154,5834;-98;120,5155;-93,10693;3;80;False
16,92728;Racket;151,4017;-98;117,3338;-90,80297;3;80;False
17,5804;Block;92,29803;-45,87585;80;-40;3;80;False
19,88583;Top;0,06;118,1;185,6755;110,793;4;80;False
20,21949;RightBorder;209,4;1,33;197,8552;87,75344;4;80;False
22,82374;Racket;106,3117;-98;92,29804;-89,65099;4;80;False
23,37466;Block;81,94375;-49,39342;80;-40;4;80;False
23,92463;Racket;93,78674;-98;71,58945;-89,65099;5;80;False
24,49416;Block;55,35357;-49,72321;60;-40;5;80;False
25,06279;Racket;38,67676;-98;39,11763;-89,65099;6;80;False
25,59472;Block;39,44258;-49,57218;40;-40;6;80;False
26,12969;Racket;46,19176;-98;39,76754;-89,65099;7;80;False
26,66596;Block;35,06099;-49,81457;40;-40;7;80;False
27,19858;Racket;48,69677;-98;30,35445;-89,65099;8;80;False
27,7677;Block;16,65784;-48,88879;20;-40;8;80;False
28,33407;Racket;1,101765;-98;2,96123;-89,65099;9;80;False
30,87346;Top;0,06;118,1;9,468322;110,6461;9;80;False
32,69467;Block;14,13456;-32,23249;20;-40;9;80;False
34,51237;Top;0,06;118,1;18,80085;110,6461;11;80;False
37,0524;Racket;1,101765;-98;25,30804;-89,65099;11;80;False
37,81961;Block;47,94885;-32,93607;60;-40;11;80;False
39,80797;Top;0,06;118,1;-13,28421;111,317;13;80;False
41,79549;Block;-74,51732;-32,93608;-80;-40;13;80;False
43,78114;Top;0,06;118,1;-135,7504;111,317;15;80;False
45,83503;LeftBorder;-209,1;-0,8;-198,0118;-40,33368;15;80;False
46,53735;Racket;-144,1882;-98;-176,4004;-89,65099;15;80;False
47,12238;LeftBorder;-209,1;-0,8;-197,8064;-48,77235;15;80;False
49,44222;Top;0,06;118,1;-107,6417;111,2382;15;80;False
51,53133;Block;-26,55865;-32,4209;-20;-40;15;80;False
53,61745;Top;0,06;118,1;54,52435;111,2382;17;80;False
56,52425;Racket;146,3917;-98;167,3922;-89,65099;17;80;False
57,69479;RightBorder;209,4;1,33;198,321;-1,717527;17;80;False
59,22929;Top;0,06;118,1;156,4762;111,3398;17;80;False
62,11334;Racket;110,8669;-98;75,73895;-105,9815;17;80;False
62,16764;Racket;105,1648;-98;71,84973;-102,5533;17;80;False
62,20243;Racket;101,9943;-98;68,6793;-100,2363;17;80;False
62,23565;Racket;98,82391;-98;65,50887;-97,91933;17;80;False
62,26861;Racket;95,65348;-98;62,33843;-95,60236;17;80;False
62,302;Racket;92,48305;-98;59,168;-93,28539;17;80;False
62,33468;Racket;87,47305;-98;57,83713;-90,64862;17;80;False
65,19261;Top;0,06;118,1;-46,11208;110,4092;17;80;False
68,03023;Racket;-173,476;-98;-149,4533;-89,45893;17;80;False
70,76962;Top;0,06;118,1;-65,6115;110,5;17;80;False
73,55816;Racket;52,48528;-98;16,74838;-95,6305;17;80;False
73,60908;Racket;46,77445;-98;12,84173;-92,21822;17;80;False
73,64159;Racket;44,26945;-98;11,49243;-89,91193;17;80;False
76,56448;Top;0,06;118,1;-103,5356;111,3076;17;80;False
79,00351;LeftBorder;-209,1;-0,8;-198,1872;-58,50776;17;80;False
79,65356;Racket;-140,4432;-98;-175,7147;-103,8693;17;80;False
79,70388;Racket;-146,1474;-98;-179,6081;-100,4448;17;80;False
79,73712;Racket;-149,32;-98;-182,7807;-98,13037;17;80;False
79,77;Racket;-152,4926;-98;-185,9533;-95,8159;17;80;False
79,80351;Racket;-155,6653;-98;-189,1259;-93,50143;17;80;False
79,8371;Racket;-158,8379;-98;-192,2986;-91,18697;17;80;False
80,00404;LeftBorder;-209,1;-0,8;-197,6395;-79,61462;17;80;False
82,79283;Top;0,06;118,1;-86,14734;111,3286;17;80;False
85,86542;Racket;69,78473;-98;36,02655;-101,6021;17;80;False
88,97128;Top;0,06;118,1;-88,97574;110,8555;17;80;False
91,71021;LeftBorder;-209,1;-0,8;-197,8492;-78,50882;17;80;False
91,91116;Racket;-173,476;-98;-189,7845;-90,05545;17;80;False
92,32806;LeftBorder;-209,1;-0,8;-198,102;-57,90232;17;80;False
94,5498;Top;0,06;118,1;-150,0048;110,5801;17;80;False
97,18834;Racket;-108,3459;-98;-92,86673;-90,05545;17;80;False
97,75539;Block;-81,15381;-48,74925;-80;-40;17;80;False
98,32283;Racket;-93,31593;-98;-69,44089;-90,05545;21;80;False
98,90934;Block;-51,64172;-49,28638;-60;-40;21;80;False
99,49196;Racket;-18,16595;-98;-33,84251;-90,05545;25;80;False
100,0607;Block;-45,69473;-48,78445;-40;-40;25;80;False
100,6273;Racket;-60,75096;-98;-57,54695;-90,05545;29;80;False
101,1797;Block;-55,11523;-48,70245;-60;-40;29;80;False
101,7316;Racket;-75,78095;-98;-52,68351;-90,05545;33;80;False
102,3162;Block;-35,38351;-49,09579;-40;-40;33;80;False
102,901;Racket;-15,66095;-98;-18,08352;-90,05545;37;80;False
105,4372;Top;0,06;118,1;-26,55808;110,1701;37;80;False
109,7972;Top;0,06;118,1;0,2;110,4359;37;90;True
112,0508;Racket;18,135;-98;0,2;-89,46297;37;90;True
114,4056;Top;0,06;118,1;-62,40675;110,1293;37;90;True
116,762;Racket;-124,6499;-98;-125,014;-89,46297;37;90;True
117,2954;Block;-125,316;-44,37388;-133,6547;-34,81635;37;90;True
117,8306;Racket;-124,6499;-98;-125,618;-89,46297;41;90;True
120,0844;Top;0,06;118,1;-129,0045;110,4083;41;90;True
122,338;Racket;-124,6499;-98;-132,3911;-89,46297;41;90;True
122,94;Block;0,2;-49,55001;0;-40;41;100;False
123,3744;Racket;0,6;-98;0,2;-89,62997;46;100;False
123,8078;Block;-0,09944119;-49,55093;0;-40;46;100;False
124,2419;Racket;0,6;-98;-0,3988823;-89,62997;51;100;False
