Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1237519;Block;0,2;-49,88401;0;-40;0;80;False
0,1237519;Block;0,2;-49,88401;0;-40;0;80;False
0,8075896;Racket;5,695117;-109,6;0,2;-101,988;1;80;False
1,509861;Block;-5,092539;-48,78609;0;-40;1;80;False
2,309456;Ground;0,15;-117,8;-11,14115;-109,9682;2;80;False
3,110792;Block;-17,18977;-48,78609;-20;-40;2;80;False
3,912288;Ground;0,15;-117,8;-23,23838;-109,9682;3;80;False
4,01358;Racket;4,806481;-109,6;-23,99446;-101,988;3;80;False
4,781361;Block;-51,32717;-49,33781;-60;-40;3;80;False
4,781361;Block;-51,32717;-49,33781;-40;-40;4;80;False
5,548845;Racket;-85,39721;-109,6;-78,65994;-101,988;5;80;False
6,252035;Block;-72,18556;-48,90481;-80;-40;5;80;False
7,051548;Ground;0,15;-117,8;-64,78627;-109,9504;6;80;False
7,855107;Block;-57,38698;-48,90481;-60;-40;6;80;False
8,623716;Racket;-17,33123;-109,6;-52,65028;-109,9504;7;80;False
8,674265;Racket;-22,47434;-109,6;-56,24821;-106,5272;7;80;False
8,705119;Racket;-25,35988;-109,6;-59,10709;-104,2181;7;80;False
8,740208;Racket;-29,70811;-109,6;-60,45087;-101,9086;7;80;False
9,525619;Block;-89,85812;-48,78933;-80;-40;7;80;False
10,30992;Racket;-119,3033;-109,6;-119,2654;-101,9086;8;80;False
12,99813;Top;0,06;118,1;-119,1254;110,5152;8;80;False
15,78565;Ground;0,15;-117,8;-118,9801;-109,9246;8;80;False
18,57576;Top;0,06;118,1;-118,8349;110,5152;8;80;False
21,3663;Ground;0,15;-117,8;-118,6896;-109,9246;8;80;False
21,46413;Racket;-86,35265;-109,6;-120,5422;-101,9086;8;80;False
23,40192;LeftBorder;-209,1;-0,8;-197,884;31,59799;8;80;False
24,58755;Top;0,06;118,1;-149,715;111,0114;8;80;False
27,70912;Racket;-1,225352;-109,6;-22,84719;-101,9086;8;80;False
28,4451;Block;-43,38089;-49,33112;-40;-40;8;80;False
29,18013;Racket;-49,84473;-109,6;-63,91458;-101,9086;9;80;False
31,95105;Top;0,06;118,1;-116,1974;111,02;9;80;False
34,72569;Racket;-136,4045;-109,6;-168,4802;-101,9086;9;80;False
35,52515;LeftBorder;-209,1;-0,8;-198,222;-45,79052;9;80;False
37,79654;Top;0,06;118,1;-110,2897;110,8724;9;80;False
39,88575;Block;-29,46965;-32,93015;-20;-40;9;80;False
41,97318;Top;0,06;118,1;51,3504;110,8724;10;80;False
45,16358;Ground;0,15;-117,8;174,8435;-110,0925;10;80;False
45,79679;RightBorder;209,4;1,33;198,1197;-65,66564;10;80;False
48,35078;Top;0,06;118,1;99,19588;110,8724;10;80;False
50,43908;Block;18,37579;-32,93015;20;-40;10;80;False
52,52801;Top;0,06;118,1;-62,44425;110,8724;11;80;False
55,59916;Racket;-161,3721;-109,6;-181,4114;-101,9086;11;80;False
56,26812;LeftBorder;-209,1;-0,8;-197,9906;-51,39841;11;80;False
58,4378;Top;0,06;118,1;-141,2723;110,2341;11;80;False
61,27798;Racket;-76,58645;-109,6;-67,1033;-101,9086;11;80;False
63,9989;Top;0,06;118,1;-31,96439;110,3685;11;80;False
66,7232;Racket;-27,00476;-109,6;3,174598;-101,9086;11;80;False
67,49106;Block;31,5418;-49,76168;20;-40;11;80;False
67,49106;Block;31,5418;-49,76168;40;-40;12;80;False
68,25528;Racket;73,42808;-109,6;59,90909;-101,9086;13;80;False
68,96032;Block;47,17165;-49,86364;40;-40;13;80;False
69,65974;Racket;9,052183;-109,6;34,43422;-101,9086;14;80;False
70,4121;Block;58,53702;-49,27962;60;-40;14;80;False
71,16151;Racket;84,12659;-109,6;82,63995;-101,9086;15;80;False
71,84783;Block;81,2364;-49,82168;80;-40;15;80;False
72,53199;Racket;102,829;-109,6;79,83284;-101,9086;16;80;False
73,26859;Block;58,16656;-49,747;60;-40;16;80;False
74,10043;Racket;0,507581;-109,6;35,11682;-111,8442;17;80;False
74,11538;Ground;0,15;-117,8;35,80141;-110,6969;17;80;False
74,17034;Racket;5,499256;-109,6;38,71666;-107,2551;17;80;False
75,92384;RightBorder;209,4;1,33;197,4963;14,47472;17;80;False
77,34322;Top;0,06;118,1;66,46461;110,6993;17;80;False
80,23338;LeftBorder;-209,1;-0,8;-197,1406;-89,8651;17;80;False
80,43315;Racket;-173,476;-109,6;-178,642;-101,4584;17;80;False
83,12025;Top;0,06;118,1;-197,7254;110,128;17;80;False
83,22272;LeftBorder;-209,1;-0,8;-198,1995;102,1436;17;80;False
85,80943;Racket;-173,476;-109,6;-179,8273;-101,4584;17;80;False
87,94759;LeftBorder;-209,1;-0,8;-198,1517;68,53342;17;80;False
88,51492;Top;0,06;118,1;-193,207;111,0315;17;80;False
