Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1477569;Block;0,2;-49,88401;0;-40;0;80;False
0,1477569;Block;0,2;-49,88401;0;-40;0;80;False
0,6863078;Racket;0,6;-98;0,2;-89,96397;1;80;False
1,220787;Block;-0,09483444;-49,88493;0;-40;1;80;False
1,752703;Racket;0,6;-98;-0,3896688;-89,96397;2;80;False
4,294449;Top;0,06;118,1;-3,854241;110,4069;2;80;False
7,078124;Ground;0,15;-117,8;-7,660721;-110,0011;2;80;False
7,869679;Block;-8,73199;-49,88977;-20;-40;2;80;False
8,650968;Ground;0,15;-117,8;-9,803252;-110,0011;3;80;False
9,434532;Block;-10,87451;-49,88977;-20;-40;3;80;False
10,22242;Ground;0,15;-117,8;-11,94578;-110,0011;4;80;False
13,01379;Top;0,06;118,1;-15,75218;110,4069;4;80;False
15,79617;Ground;0,15;-117,8;-19,55858;-110,0011;4;80;False
18,58773;Top;0,06;118,1;-23,36498;110,4069;4;80;False
21,12524;Racket;-39,47999;-98;-26,82949;-89,96397;4;80;False
23,73363;Top;0,06;118,1;17,58437;111,0542;4;80;False
25,60101;Block;49,47136;-32,53019;40;-40;4;80;False
25,60101;Block;49,47136;-32,53019;60;-40;5;80;False
27,46794;Top;0,06;118,1;81,35844;111,0542;6;80;False
30,34164;Ground;0,15;-117,8;130,3278;-110,849;6;80;False
33,21437;Top;0,06;118,1;179,296;111,0542;6;80;False
34,36714;RightBorder;209,4;1,33;198,3708;20,98759;6;80;False
35,8169;Racket;160,92;-98;173,602;-89,96397;6;80;False
37,30698;RightBorder;209,4;1,33;198,4305;26,19559;6;80;False
38,42699;Top;0,06;118,1;179,3097;111,0311;6;80;False
41,03606;Racket;143,617;-98;134,7896;-89,96397;6;80;False
43,60742;Top;0,06;118,1;103,8327;110,7962;6;80;False
45,46076;Block;81,51952;-33,16995;80;-40;6;80;False
47,31285;Top;0,06;118,1;59,20638;110,7962;7;80;False
