Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,1302505;Block;0,2;-49,88401;0;-40;0;80;False
0,1302505;Block;0,2;-49,88401;0;-40;0;80;False
0,8129176;Racket;0;-109,6;0,2;-101,988;1;80;False
1,499487;Block;0,3888818;-49,88431;0;-40;1;80;False
2,283149;Ground;0,15;-117,8;0,6054041;-110,0039;2;80;False
5,070778;Top;0,06;118,1;1,374747;110,4347;2;80;False
7,862032;Ground;0,15;-117,8;2,144094;-110,0039;2;80;False
10,65166;Top;0,06;118,1;2,913456;110,4347;2;80;False
13,43809;Ground;0,15;-117,8;3,682819;-110,0039;2;80;False
16,22729;Top;0,06;118,1;4,452158;110,4347;2;80;False
19,01608;Ground;0,15;-117,8;5,221481;-110,0039;2;80;False
21,80726;Top;0,06;118,1;5,990804;110,4347;2;80;False
24,49334;Racket;-3,33786E-06;-109,6;6,732486;-101,988;2;80;False
25,19693;Block;13,20238;-48,90446;20;-40;2;80;False
25,89627;Racket;-3,33786E-06;-109,6;19,67227;-101,988;3;80;False
26,63272;Block;38,55396;-48,84933;40;-40;3;80;False
27,48471;Ground;0,15;-117,8;60,43962;-110,8444;4;80;False
28,33588;Block;82,32528;-48,84933;80;-40;4;80;False
29,18637;Ground;0,15;-117,8;104,2109;-110,8444;5;80;False
32,14396;Top;0,06;118,1;180,1661;110,5665;5;80;False
32,87703;RightBorder;209,4;1,33;198,1893;54,89751;5;80;False
35,09999;Ground;0,15;-117,8;141,1159;-110,8444;5;80;False
38,05463;Top;0,06;118,1;65,16006;110,5665;5;80;False
39,97511;Block;15,81012;-32,40166;20;-40;5;80;False
41,89581;Top;0,06;118,1;-33,53969;110,5665;6;80;False
43,81699;Block;-82,8897;-32,40166;-80;-40;6;80;False
45,73618;Top;0,06;118,1;-132,2396;110,5665;7;80;False
48,32598;LeftBorder;-209,1;-0,8;-197,8954;-85,54028;7;80;False
48,69227;Ground;0,15;-117,8;-188,4547;-110,8444;7;80;False
51,64792;Top;0,06;118,1;-112,4997;110,5665;7;80;False
53,57088;Block;-63,14969;-32,40166;-60;-40;7;80;False
55,48839;Top;0,06;118,1;-13,79976;110,5665;8;80;False
57,41056;Block;35,55006;-32,40166;40;-40;8;80;False
