Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
3,969387;Block;0,2;-49,88401;0;-40;3;80;False
3,969387;Block;0,2;-49,88401;0;-40;3;80;False
4,652605;Racket;-1,02903;-109,6;0,2;-101,988;4;80;False
5,33585;Block;1,360453;-49,89561;0;-40;4;80;False
6,019109;Racket;-1,02903;-109,6;2,520904;-101,988;5;80;False
8,719178;Top;0,06;118,1;15,74307;111,3727;5;80;False
10,55331;Block;24,72098;-32,64576;20;-40;5;80;False
12,40207;Top;0,06;118,1;33,69893;111,3727;6;80;False
14,23526;Block;42,67704;-32,64576;40;-40;6;80;False
16,06866;Top;0,06;118,1;51,65516;111,3727;7;80;False
17,90158;Block;60,63328;-32,64576;60;-40;7;80;False
19,73484;Top;0,06;118,1;69,6114;111,3727;8;80;False
21,58475;Block;78,58952;-32,64576;80;-40;8;80;False
23,41797;Top;0,06;118,1;87,56763;111,3727;9;80;False
26,11767;Racket;81,22227;-109,6;100,79;-101,988;9;80;False
28,9675;Top;0,06;118,1;173,3933;110,6831;9;80;False
29,96729;RightBorder;209,4;1,33;198,1638;34,72911;9;80;False
31,80059;Racket;173,6771;-109,6;151,1852;-101,988;9;80;False
34,68359;Top;0,06;118,1;67,61894;111,0131;9;80;False
36,65022;Block;11,10327;-32,23319;20;-40;9;80;False
38,59998;Top;0,06;118,1;-45,41244;111,0131;11;80;False
41,59995;Ground;0,15;-117,8;-132,3597;-110,7073;11;80;False
41,66665;Racket;-165,8285;-109,6;-132,3751;-105,7248;11;80;False
41,6999;Racket;-163,4276;-109,6;-129,8173;-103,4102;11;80;False
41,73319;Racket;-158,8254;-109,6;-128,4776;-101,0984;11;80;False
44,76654;Top;0,06;118,1;-16,3692;110,7926;11;80;False
46,81602;Block;59,8148;-32,44096;60;-40;11;80;False
48,86584;Top;0,06;118,1;135,9991;110,7926;12;80;False
50,56575;RightBorder;209,4;1,33;197,9376;-9,94974;12;80;False
51,88226;Racket;173,6771;-109,6;149,0062;-101,0984;12;80;False
54,79871;Top;0,06;118,1;58,01469;110,3587;12;80;False
56,93199;Block;-7,875598;-47,00472;-20;-40;12;80;False
57,69867;Racket;0,6455495;-109,6;16,17961;-101,0984;13;80;False
58,39886;Block;30,69634;-49,47782;40;-40;13;80;False
59,09836;Racket;66,74762;-109,6;45,21314;-101,0984;14;80;False
61,96482;Top;0,06;118,1;-34,30495;110,5671;14;80;False
63,89801;Block;-88,24718;-32,21313;-80;-40;14;80;False
65,83134;Top;0,06;118,1;-142,1892;110,5671;15;80;False
67,86428;LeftBorder;-209,1;-0,8;-197,9906;-42,23282;15;80;False
68,69755;Racket;-173,476;-109,6;-175,205;-101,0984;15;80;False
71,38071;Top;0,06;118,1;-181,6144;111,2311;15;80;False
74,06389;Racket;-173,476;-109,6;-188,0239;-101,0984;15;80;False
74,61386;LeftBorder;-209,1;-0,8;-198,0997;-58,33498;15;80;False
76,8306;Top;0,06;118,1;-155,1961;110,1266;15;80;False
79,58039;Racket;-119,6502;-109,6;-101,5659;-101,0984;15;80;False
80,29675;Block;-84,46561;-48,80541;-80;-40;15;80;False
81,01334;Racket;-79,95024;-109,6;-67,36528;-101,0984;17;80;False
81,71329;Block;-55,4669;-48,87362;-60;-40;17;80;False
82,41342;Racket;-56,52959;-109,6;-43,56853;-101,0984;19;80;False
83,11323;Block;-31,91387;-48,94473;-40;-40;19;80;False
83,11323;Block;-31,91387;-48,94473;-20;-40;21;80;False
83,8132;Racket;-23,24141;-109,6;-44,15126;-101,0984;23;80;False
84,54646;Block;-63,63465;-49,5687;-60;-40;23;80;False
85,26311;Racket;-97,4895;-109,6;-83,11804;-101,0984;25;80;False
88,01285;Top;0,06;118,1;-30,09992;110,2774;25;80;False
90,84612;Racket;57,6993;-109,6;23,30449;-110,1758;25;80;False
90,91269;Racket;53,42919;-109,6;19,93292;-105,5793;25;80;False
90,94611;Racket;51,37911;-109,6;17,9071;-103,2654;25;80;False
94,07922;Top;0,06;118,1;-106,9688;110,8044;25;80;False
96,37896;LeftBorder;-209,1;-0,8;-197,7877;-48,88009;25;80;False
97,17897;Racket;-173,476;-109,6;-165,734;-102,1083;25;80;False
99,89547;Top;0,06;118,1;-136,9225;111,0968;25;80;False
102,6285;Racket;-129,407;-109,6;-108,1101;-102,1083;25;80;False
105,4951;Top;0,06;118,1;-28,9039;111,0934;25;80;False
108,3614;Racket;32,34362;-109,6;50,30214;-102,1083;25;80;False
109,1614;Block;68,08419;-42,12585;80;-40;25;80;False
111,1947;Top;0,06;118,1;19,87505;111,0209;28;80;False
113,2443;Block;-27,93891;-45,95452;-40;-40;28;80;False
114,0112;Racket;14,52649;-109,6;-9,761696;-102,1083;31;80;False
120,9103;Top;0,06;118,1;0,2;110,4359;31;90;True
123,2935;Racket;-10,46093;-110;0,2;-101,487;31;90;True
125,7433;Top;0,06;118,1;39,87013;111,3789;31;90;True
128,1766;Racket;77,52451;-110;79,54027;-101,487;31;90;True
129,043;Block;82,25508;-26,38234;81,05206;-16,69265;31;90;True
129,9096;Racket;92,9757;-110;84,96989;-101,487;34;90;True
135,0258;Block;0,2;-49,55001;0;-40;34;100;False
135,5758;Racket;0;-110;0,2;-101,32;38;100;False
136,1259;Block;0,3900333;-49,55025;0;-40;38;100;False
136,6756;Racket;0;-110;0,5800666;-101,32;42;100;False
137,4259;Block;1,331616;-29,51357;0;-20;42;100;False
138,1756;Racket;0;-110;2,083165;-101,32;46;100;False
138,9255;Block;4,780566;-29,55629;0;-20;46;100;False
139,6756;Racket;5,740969;-110;7,477967;-101,32;50;100;False
140,2254;Block;9,127686;-49,57319;20;-40;50;100;False
140,7921;Racket;26,29434;-110;10,77741;-101,32;54;100;False
141,5754;Block;-8,379283;-25,49653;-20;-20;54;100;False
143,0086;Top;0,06;118,1;28,73848;110,0177;58;100;False
144,3085;Block;62,40347;-12,59042;60;-20;58;100;False
145,6084;Top;0,06;118,1;96,06847;110,0177;62;100;False
