Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
189,1063;Block;0,2;-49,88401;0;-40;80;80;False
189,1063;Block;0,2;-49,88401;0;-40;80;80;False
189,7897;Racket;0;-109,6;0,2;-101,988;81;80;False
190,4731;Block;0,3888818;-49,88431;0;-40;81;80;False
191,2565;Ground;0,15;-117,8;0,6054041;-110,0039;82;80;False
194,0394;Top;0,06;118,1;1,374747;110,4347;82;80;False
196,7392;Racket;-20,04;-109,6;2,116452;-101,988;82;80;False
197,4726;Block;23,09387;-49,57035;20;-40;82;80;False
198,3226;Ground;0,15;-117,8;47,40864;-110,7242;83;80;False
199,1725;Block;71,72344;-49,57035;60;-40;83;80;False
199,1725;Block;71,72344;-49,57035;80;-40;84;80;False
200,0226;Ground;0,15;-117,8;96,03825;-110,7242;85;80;False
203,0054;Top;0,06;118,1;181,3784;110,1784;85;80;False
203,6388;RightBorder;209,4;1,33;198,0651;64,00097;85;80;False
206,0052;Ground;0,15;-117,8;130,365;-110,7242;85;80;False
208,9882;Top;0,06;118,1;45,02483;110,1784;85;80;False
210,9216;Block;-10,27932;-32,09785;-20;-40;85;80;False
212,8713;Top;0,06;118,1;-65,5835;110,1784;86;80;False
215,8547;Ground;0,15;-117,8;-150,9237;-110,7242;86;80;False
